Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=6aebabcddef7f514,Field Application Engineer,경기도 용인,,"troubleshooting. Preferably to have coding capability (Matlab, Python...etc... data analysis, visualization, and algorithm..."
https://kr.indeed.com/viewjob?jk=c168b9a8a468e906,차세대 AAA 게임 테크니컬 아티스트 모집,성남 판교역,,"우대 Skill - 일정 수준 이상의 영어 스킬(기술문서 독해 및 청취 가능 여부) - Max Script, Python, C Sharp, 등을 이용한 Script & Tool 제작 Skill - UE4 Blueprint 로..."
https://kr.indeed.com/viewjob?jk=b970fab4900ee5ec,[포털서비스] AB테스트 설계/분석 데이터 엔지니어 및 서버 개발자 모집,성남 판교역,,니다. 실험 프로세스 구축 및 이를 위한 도구 개발 지원자격 최소자격 개발 경력 2년 이상 Python 사용에 어려움이 없으신 분 우대사항 하둡 에코시스템에서 대용량 데이터 처리 경험이 있으신 분 ( hadoop...
https://kr.indeed.com/viewjob?jk=6b465d5f1f6c25b3,[메디치소프트]데이터 분석가 웹프로그래머 python java,서울 상암동,,딥러닝 처리 및 관련 사용언어 : python 및 java 가능자 사용db... 0 개월 이상) 우대 학력 대졸(2~3년) ~ 대졸(4년) 키워드 [ python ] [빅데이터 ] [인공지능 ] [AI ] [컨설팅 ] 우대사항 우대...
https://kr.indeed.com/viewjob?jk=48168aa3a6cd7b03,신규 플랫폼 서비스 웹/앱 서버 개발자 (상여금 지급),서울 송파구,,그래머>ASP|인터넷·IT·통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>백엔드|인터넷·IT·통신·모바일·게임>웹프로그래머>프론트엔드
https://kr.indeed.com/viewjob?jk=ecd0fe8ed259124a,SK 브로드밴드 Biz Analyst 분야 경력사원,서울특별시,,"빅데이터 등 관련 전공자 경력 - 데이터 분석 지식 및 분석 Tool 사용가능자 (SQL, R, Python 등) *필수사항 - Data기반 분석 Insight 도출 및 현업 Communication 에 대한 경험..."
https://kr.indeed.com/viewjob?jk=b2661d357cf26c8f,플랫폼쉴드 시스템 개발,성남 분당구,,"IP, 평판 등의 정보) 지원자격 - 전체 개발 경력 3~5년 - Python, Go 개발경력 우대(팀 내부 주 개발 언어가 Go, Python) - 비동기, 병렬처리 프로그래밍 기술 - OS, DB, H/W, 네트워..."
https://kr.indeed.com/viewjob?jk=2f879096f68e9714,"[대기업] 딥러닝(AI) 영상분석(영상인식, 얼굴인식)",서울,,공지능)>딥러닝|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석... 통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임...
https://kr.indeed.com/viewjob?jk=9ee22e907c8b2777,"산본컴퓨터학원[프로그래밍, 그래픽, OA, 전산회계] 강사",경기도 군포,"시급 20,000원","지원자격 경력 신입·경력 학력 - 성별 무관 기타 담당업무 1. 프로그래밍 강의 - C언어, C++, Python, JAVA 등 중/고등, 성인 대상 프로그래밍 강의 2. OA 강의 - 컴퓨터활용능력, 워드프로세서, ITQ..."
https://kr.indeed.com/viewjob?jk=d83fc0dd2641f483,전문연구요원 (병역특례) 수시 (AI / SW 분야),성남 분당구,"연봉 40,000,000원 - 100,000,000원",요구 능력] - ASM/C/C++/ Python 언어 코딩 기술 - 운영체제... 경험 - Windows/Linux 상에서 C++/ Python 언어 사용 개발 경험 - C++ / Python 언어 사용 개발 경험 - 객체지향 설계에...
https://kr.indeed.com/viewjob?jk=120861dc39e392af,연동서비스개발팀 - 웹 프로그래머,성남 분당구,,"이를 기반으로 각종 서비스를 개발/제공합니다. 지원자격 - 웹 어플리케이션 개발경력 1년 이상 - C#, Python 중 하나 이상의 언어를 활용하여 개발이 가능하신 분 - DB 및 웹어플리케이션에 대한 기본적인 이해를..."
https://kr.indeed.com/viewjob?jk=7df915e1f0f86b2d,Software Architecture 설계 엔지니어,성남 분당구,"연봉 40,000,000원 - 100,000,000원",경험 - Windows/Linux 상에서 C++/ Python 언어 사용 개발 경험 - C++ / Python 언어 사용 개발 경험 - 객체지향 설계에... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임...
https://kr.indeed.com/viewjob?jk=a1d687cd59776360,머신러닝 개발,성남 분당구,,모델 개발 - 머신러닝을 위한 솔루션 프로토타이핑 - 머신러닝 파이프라인 설계 및 구축 지원자격 - Python에 숙련된 프로그래밍 능력과 머신러닝 라이브러리 활용 경험 - 머신러닝과 강화학습에 관련된 지식 습득 혹은...
https://kr.indeed.com/viewjob?jk=38ba0748fb8d6e74,시스템 엔지니어 (이미지 센서) 주임 ~ 과장,경기도 수원,"연봉 45,000,000원 - 55,000,000원",driver 개발 • ASIC 후 BSP support 및 API 개발 [자격요건] • C/C++/ Python 언어 코딩 기술 • ARM/RISCV/MIPS등의 embedded 기반 S/W 개발 경험 및 가능한 자...
https://kr.indeed.com/viewjob?jk=217f05d2e48e9c7c,[전액무료·수당지원] 각 분야별 국비지원 교육생,서울 관악구,,응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>머신러닝(ML)|인터넷... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임...
https://kr.indeed.com/viewjob?jk=dc74730c92ce5050,Data Scientist,서울 영등포구,,"기반 예측, 모델링 프로젝트 경험자 데이터 분석/모델링을 위한 언어 및 프레임워크 사용에 익숙하신 분 ( Python, R, SQL, Pandas, TensorFlow, Pytorch, Spark 등) 회사 내부 구성원들과..."
https://kr.indeed.com/viewjob?jk=6215616a73db9943,게임프로그래머,성남 분당구,,"사고 및 알고리즘 구현이 가능하신 분 우대사항 -게임 프로그래밍 기반 지식 ( 수학 / 물리 ) -C#/ Python/MS-SQL 개발 경험 -글로벌 라이브 서비스 경험 기타사항 - 업계 최고 수준의 연봉과 보상, 변화..."
https://kr.indeed.com/viewjob?jk=6fe5311eacbea17a,데이터 인프라 담당자 모집,성남 판교역,,"어링 5년 이상 업무 경험 보유자 하둡 에코시스템 기반 대용량 데이터의 수집, 가공이 가능한 분 Java, python, go, bash 등 언어 중 하나 이상 활용 가능하신 분 #우대사항 데이터 분석가, 머신러닝 전문가..."
https://kr.indeed.com/viewjob?jk=03183dbe1db35308,Application Engineer,경기도 성남,,high-level programming language... C++/Java/ Python. Some coursework or application experience in industrial robotics...
https://kr.indeed.com/viewjob?jk=6b210054dfaf53d3,[AI R&D] User Profiling 및 서비스 사용성 분석 기술 분야 수시 모집,성남 판교역,,"하는 능력 - Python 언어에 능숙하신 분 2. 해당직무 입사자 필요 조건 - Machine Learning, 수학, 통계, Pattern Recognition, Data/Text Mining - Python 우대사항..."
